Date,Open,High,Low,Close,Adj Close,Volume
2021-08-23,209.5,210.1999969482422,206.0,206.3000030517578,186.67140197753906,9936365
2021-08-24,207.0,207.0,204.6999969482422,205.75,186.17376708984375,12490094
2021-08-25,206.39999389648438,207.89999389648438,206.0,206.39999389648438,186.76190185546875,10586894
2021-08-26,206.39999389648438,206.85000610351562,204.35000610351562,204.60000610351562,185.1331787109375,14836173
2021-08-27,205.0,206.85000610351562,204.89999389648438,205.89999389648438,186.30947875976562,10476384
2021-08-30,206.0,208.1999969482422,206.0,208.0,188.20968627929688,12084844
2021-08-31,208.0500030517578,211.60000610351562,207.25,211.3000030517578,191.19569396972656,25808430
2021-09-01,211.0,212.3000030517578,209.3000030517578,209.5,189.5669708251953,16241960
2021-09-02,209.0,211.5,209.0,209.75,189.79318237304688,14321164
2021-09-03,209.75,211.25,209.75,210.60000610351562,190.5623016357422,10228853
2021-09-06,211.0,211.1999969482422,209.0500030517578,209.3000030517578,189.385986328125,10632156
2021-09-07,210.89999389648438,214.35000610351562,210.14999389648438,211.75,191.60289001464844,37489544
2021-09-08,212.25,213.0,209.6999969482422,211.25,191.15045166015625,17233315
2021-09-09,211.0500030517578,213.89999389648438,210.5500030517578,212.64999389648438,192.41725158691406,19051252
2021-09-13,213.35000610351562,215.14999389648438,211.8000030517578,214.14999389648438,193.77452087402344,16043896
2021-09-14,214.89999389648438,217.25,214.1999969482422,216.10000610351562,195.53900146484375,19621849
2021-09-15,217.10000610351562,217.1999969482422,215.3000030517578,216.0,195.44851684570312,20248758
2021-09-16,216.9499969482422,233.64999389648438,216.3000030517578,230.75,208.79510498046875,149238901
2021-09-17,233.0,237.3000030517578,229.10000610351562,231.14999389648438,209.1570587158203,79501805
2021-09-20,231.0,239.35000610351562,230.25,233.75,211.50967407226562,70390969
2021-09-21,234.9499969482422,242.4499969482422,231.6999969482422,241.5,218.52230834960938,56671832
2021-09-22,243.5,245.8000030517578,240.6999969482422,243.5,220.33201599121094,52621868
2021-09-23,245.0,245.60000610351562,241.6999969482422,242.5,219.42715454101562,21791090
2021-09-24,244.0,244.0,237.6999969482422,238.4499969482422,215.7624969482422,24823291
2021-09-27,239.8000030517578,241.85000610351562,235.5,238.6999969482422,215.9886932373047,22890540
2021-09-28,239.85000610351562,241.60000610351562,236.3000030517578,237.75,215.12908935546875,15713947
2021-09-29,236.0,241.39999389648438,235.6999969482422,238.10000610351562,215.44578552246094,15450046
2021-09-30,239.89999389648438,240.39999389648438,235.25,236.14999389648438,213.68130493164062,16357902
2021-10-01,235.1999969482422,237.0,232.89999389648438,235.35000610351562,212.95742797851562,15956143
2021-10-04,236.0,238.35000610351562,235.39999389648438,236.60000610351562,214.08853149414062,10686552
2021-10-05,236.39999389648438,237.4499969482422,234.5,234.6999969482422,212.36929321289062,9223597
